VESSEL,CRUISE,P_STA_NO,SEAMAP,SAMPLE_NO,STA_LAT,STA_LON,STA_DPTH,GEAR_IN,GEAR_OUT,TOW_TIME,TOW_PAT,GEAR_ICD,MESH_ICD,VOL_FILT,TAXON,TOT_LARVAE,TAXA_NOTES,SAMPLE_NOTES,COMMENTS,DEPTH_ESRF,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,OXYSURF,OXYMID,OXYMAX
04,0317,057,B299,50670,25.9965,-91.4998,2413.39,11MAY2016:12:11:59,11MAY2016:12:35:04,23.08,O,01,03,333,Thunnus thynnus,0,,,,2,101,201,2379,24.35,19.62,14.88,35.413,36.482,35.947,6.7,4.6,4.2
04,0317,058,B020,50675,26.0093,-92.0113,2484.50,11MAY2016:16:24:43,11MAY2016:16:44:22,19.65,O,01,03,318,Katsuwonus pelamis,0,,,,2,100,200,2483,24.98,21.36,17.72,36.442,36.449,36.392,6.6,6.2,4.3
04,0317,058,B020,50675,26.0093,-92.0113,2484.50,11MAY2016:16:24:43,11MAY2016:16:44:22,19.65,O,01,03,318,Thunnus spp,1,,,,2,100,200,2483,24.98,21.36,17.72,36.442,36.449,36.392,6.6,6.2,4.3
04,0317,058,B020,50675,26.0093,-92.0113,2484.50,11MAY2016:16:24:43,11MAY2016:16:44:22,19.65,O,01,03,318,Thunnus thynnus,12,,,,2,100,200,2483,24.98,21.36,17.72,36.442,36.449,36.392,6.6,6.2,4.3
04,0317,059,B058,50680,26.4955,-91.9913,1931.43,19MAY2016:01:09:09,19MAY2016:01:32:18,23.15,O,01,03,344,Katsuwonus pelamis,0,,,,2,101,201,1905,26.36,21.16,15.94,35.882,36.448,36.106,6.6,6.3,4
04,0317,059,B058,50680,26.4955,-91.9913,1931.43,19MAY2016:01:09:09,19MAY2016:01:32:18,23.15,O,01,03,344,Thunnus spp,2,,,,2,101,201,1905,26.36,21.16,15.94,35.882,36.448,36.106,6.6,6.3,4
04,0317,059,B058,50680,26.4955,-91.9913,1931.43,19MAY2016:01:09:09,19MAY2016:01:32:18,23.15,O,01,03,344,Thunnus thynnus,4,,,,2,101,201,1905,26.36,21.16,15.94,35.882,36.448,36.106,6.6,6.3,4
04,0317,060,B021,50685,27.0097,-92.0105,1442.67,19MAY2016:05:56:29,19MAY2016:06:16:19,19.83,O,01,03,276,NO TUNA LARVAE CAUGH,0,,,,2,102,203,1469,25.64,19.93,15.54,35.967,36.528,36.052,6.7,4.5,4.4
04,0317,061,B304,50690,26.9978,-92.5003,1393.37,19MAY2016:11:11:21,19MAY2016:11:31:03,19.70,O,01,03,298,Katsuwonus pelamis,0,,,,2,102,203,1445,26.19,21.55,17.19,34.685,36.45,36.296,6.6,5.6,4.1
04,0317,061,B304,50690,26.9978,-92.5003,1393.37,19MAY2016:11:11:21,19MAY2016:11:31:03,19.70,O,01,03,298,Thunnus spp,2,,,,2,102,203,1445,26.19,21.55,17.19,34.685,36.45,36.296,6.6,5.6,4.1
04,0317,061,B304,50690,26.9978,-92.5003,1393.37,19MAY2016:11:11:21,19MAY2016:11:31:03,19.70,O,01,03,298,Thunnus thynnus,3,,,,2,102,203,1445,26.19,21.55,17.19,34.685,36.45,36.296,6.6,5.6,4.1
04,0317,062,B024,50695,27.0125,-93.0095,1415.98,19MAY2016:15:09:32,19MAY2016:15:30:25,20.88,O,01,03,300,Katsuwonus pelamis,0,,,,3,101,202,1270,25.84,22.76,17.86,36.29,36.396,36.37,6.6,6.2,3.9
04,0317,062,B024,50695,27.0125,-93.0095,1415.98,19MAY2016:15:09:32,19MAY2016:15:30:25,20.88,O,01,03,300,Thunnus spp,3,,,,3,101,202,1270,25.84,22.76,17.86,36.29,36.396,36.37,6.6,6.2,3.9
04,0317,062,B024,50695,27.0125,-93.0095,1415.98,19MAY2016:15:09:32,19MAY2016:15:30:25,20.88,O,01,03,300,Thunnus thynnus,0,,,,3,101,202,1270,25.84,22.76,17.86,36.29,36.396,36.37,6.6,6.2,3.9
04,0317,063,B055,50700,26.4975,-92.9957,1786.52,19MAY2016:20:22:20,19MAY2016:20:43:50,21.50,O,01,03,305,NO TUNA LARVAE CAUGH,1,Thunnus spp?,NO SEACAT USED ON THIS TOW BONGO BOTTOM NOT PRESSED Right bongo accidentally preserved in formalin,,2,101,202,1784,26.37,22.89,18.35,36.445,36.457,36.421,6.6,6.4,3.9
04,0317,063,B055,50700,26.4975,-92.9957,1786.52,19MAY2016:20:22:20,19MAY2016:20:43:50,21.50,O,01,03,305,Katsuwonus pelamis,0,,NO SEACAT USED ON THIS TOW BONGO BOTTOM NOT PRESSED Right bongo accidentally preserved in formalin,,2,101,202,1784,26.37,22.89,18.35,36.445,36.457,36.421,6.6,6.4,3.9
04,0317,063,B055,50700,26.4975,-92.9957,1786.52,19MAY2016:20:22:20,19MAY2016:20:43:50,21.50,O,01,03,305,Thunnus spp,0,,NO SEACAT USED ON THIS TOW BONGO BOTTOM NOT PRESSED Right bongo accidentally preserved in formalin,,2,101,202,1784,26.37,22.89,18.35,36.445,36.457,36.421,6.6,6.4,3.9
04,0317,063,B055,50700,26.4975,-92.9957,1786.52,19MAY2016:20:22:20,19MAY2016:20:43:50,21.50,O,01,03,305,Thunnus thynnus,0,,NO SEACAT USED ON THIS TOW BONGO BOTTOM NOT PRESSED Right bongo accidentally preserved in formalin,,2,101,202,1784,26.37,22.89,18.35,36.445,36.457,36.421,6.6,6.4,3.9
04,0317,064,B025,50705,26.2968,-93.0080,1960.20,19MAY2016:22:57:33,19MAY2016:23:17:25,19.86,O,01,03,290,NO TUNA LARVAE CAUGH,0,,,,2,102,203,1944,26.49,22.99,19.04,36.351,36.463,36.524,6.5,6.6,4.1
04,0317,065,B307,50710,26.0098,-93.4962,2286.25,20MAY2016:04:11:15,20MAY2016:04:30:08,18.88,O,01,03,274,Katsuwonus pelamis,1,,No SeaCat,,2,101,201,3085,26.99,21.88,17.27,36.164,36.404,36.312,6.5,6.2,4.1
04,0317,065,B307,50710,26.0098,-93.4962,2286.25,20MAY2016:04:11:15,20MAY2016:04:30:08,18.88,O,01,03,274,Thunnus spp,1,,No SeaCat,,2,101,201,3085,26.99,21.88,17.27,36.164,36.404,36.312,6.5,6.2,4.1
04,0317,065,B307,50710,26.0098,-93.4962,2286.25,20MAY2016:04:11:15,20MAY2016:04:30:08,18.88,O,01,03,274,Thunnus thynnus,0,,No SeaCat,,2,101,201,3085,26.99,21.88,17.27,36.164,36.404,36.312,6.5,6.2,4.1
04,0317,066,B026,50715,26.0315,-93.9997,2975.50,20MAY2016:08:16:06,20MAY2016:08:36:23,20.28,O,01,03,281,NO TUNA LARVAE CAUGH,1,n=1 T. thynnus? (2.2 mm) in K. pelamis vial. Check all for DNA.,,,2,102,204,2976,26.8,21.37,18,36.11,36.449,36.401,6.5,6.4,4.1
04,0317,066,B026,50715,26.0315,-93.9997,2975.50,20MAY2016:08:16:06,20MAY2016:08:36:23,20.28,O,01,03,281,Katsuwonus pelamis,2,Check all for DNA.,,,2,102,204,2976,26.8,21.37,18,36.11,36.449,36.401,6.5,6.4,4.1
04,0317,066,B026,50715,26.0315,-93.9997,2975.50,20MAY2016:08:16:06,20MAY2016:08:36:23,20.28,O,01,03,281,Thunnus spp,3,,,,2,102,204,2976,26.8,21.37,18,36.11,36.449,36.401,6.5,6.4,4.1
04,0317,066,B026,50715,26.0315,-93.9997,2975.50,20MAY2016:08:16:06,20MAY2016:08:36:23,20.28,O,01,03,281,Thunnus thynnus,0,,,,2,102,204,2976,26.8,21.37,18,36.11,36.449,36.401,6.5,6.4,4.1
04,0317,067,B054,50720,26.5010,-93.9952,1457.75,20MAY2016:13:18:53,20MAY2016:13:38:15,19.36,O,01,03,289,Katsuwonus pelamis,2,Sta# changed from 61 to 67; Check all for DNA.,,,2,101,201,1515,26.85,21.8,17.12,35.226,36.393,36.288,6.4,6.1,4.1
04,0317,067,B054,50720,26.5010,-93.9952,1457.75,20MAY2016:13:18:53,20MAY2016:13:38:15,19.36,O,01,03,289,Thunnus spp,0,,,,2,101,201,1515,26.85,21.8,17.12,35.226,36.393,36.288,6.4,6.1,4.1
04,0317,067,B054,50720,26.5010,-93.9952,1457.75,20MAY2016:13:18:53,20MAY2016:13:38:15,19.36,O,01,03,289,Thunnus thynnus,1,Sta# changed from 61 to 67,,,2,101,201,1515,26.85,21.8,17.12,35.226,36.393,36.288,6.4,6.1,4.1
