"Cruise","Station","Gear","Fish","Length","LatDec","LonDec","DateTime","SST"
"HB1603",52,"6B3",NA,3.5,38.775,67.9783333333333,2016-07-08 02:34:40,25.67
"HB1603",52,"6B3",NA,3.9,38.775,67.9783333333333,2016-07-08 02:34:40,25.67
"HB1603",53,"6B3",NA,3.4,38.6516666666667,68.0033333333333,2016-07-08 04:00:47,25.85
"HB1603",70,"6B3",NA,4.7,39.38,71.6883333333333,2016-07-13 15:54:49,23.94
"HB1603",121,"6B3",NA,3,39.5716666666667,70.99,2016-07-31 22:45:27,25.99
"HB1603",121,"6B3",NA,3,39.5716666666667,70.99,2016-07-31 22:45:27,25.99
"HB1603",121,"6B3",NA,3,39.5716666666667,70.99,2016-07-31 22:45:27,25.99
"HB1603",121,"6B3",NA,3,39.5716666666667,70.99,2016-07-31 22:45:27,25.99
"HB1603",121,"6B3",NA,3.1,39.5716666666667,70.99,2016-07-31 22:45:27,25.99
"HB1603",121,"6B3",NA,3.1,39.5716666666667,70.99,2016-07-31 22:45:27,25.99
"HB1603",45,"6B3",NA,2.5,37.3566666666667,68.2766666666667,2016-07-07 02:35:29,26.64
"HB1603",49,"6B3",NA,3,38.2566666666667,68.11,2016-07-07 15:50:38,27.8
"HB1603",49,"6B3",NA,3.1,38.2566666666667,68.11,2016-07-07 15:50:38,27.8
"HB1603",49,"6B3",NA,3.2,38.2566666666667,68.11,2016-07-07 15:50:38,27.8
"HB1603",49,"6B3",NA,3.3,38.2566666666667,68.11,2016-07-07 15:50:38,27.8
"HB1603",49,"6B3",NA,3.4,38.2566666666667,68.11,2016-07-07 15:50:38,27.8
"HB1603",50,"6B3",NA,2.8,39.0666666666667,67.9033333333333,2016-07-07 23:40:23,25.62
"HB1603",50,"6B3",NA,3.6,39.0666666666667,67.9033333333333,2016-07-07 23:40:23,25.62
"HB1603",50,"6B3",NA,3.9,39.0666666666667,67.9033333333333,2016-07-07 23:40:23,25.62
"HB1603",50,"6B3",NA,4,39.0666666666667,67.9033333333333,2016-07-07 23:40:23,25.62
"HB1603",53,"6B3",NA,2.2,38.6516666666667,68.0033333333333,2016-07-08 04:00:47,25.85
"HB1603",53,"6B3",NA,2.5,38.6516666666667,68.0033333333333,2016-07-08 04:00:47,25.85
